index,loss,correct,total_logprob
221,1.3679271936416626,0,-0.31845608353614807
222,,,
223,,,
222,0.20007973909378052,1,-0.19687989354133606
223,,,
224,,,
223,0.24214942753314972,1,-0.25609010457992554
224,,,
225,,,
224,1.3760391473770142,0,-0.3158143162727356
225,,,
226,,,
225,0.2228759229183197,1,-0.2391948401927948
226,,,
227,,,
226,0.26362669467926025,1,-0.3057234287261963
227,,,
228,,,
227,1.289380431175232,0,-0.3724558651447296
228,,,
229,,,
228,0.21644680202007294,1,-0.22154219448566437
229,,,
230,,,
229,0.2577550709247589,1,-0.28402480483055115
230,,,
231,,,
230,1.3053114414215088,0,-0.3475969135761261
231,,,
232,,,
231,0.21263685822486877,1,-0.2169882357120514
232,,,
233,,,
232,0.2543191611766815,1,-0.278277188539505
233,,,
234,,,
233,1.3195695877075195,0,-0.34412869811058044
234,,,
235,,,
234,0.21086932718753815,1,-0.20787079632282257
235,,,
236,,,
235,0.2529356777667999,1,-0.26695695519447327
236,,,
237,,,
236,1.3310468196868896,0,-0.3290645182132721
237,,,
238,,,
237,0.21144399046897888,1,-0.20894521474838257
238,,,
239,,,
238,0.25388839840888977,1,-0.2665387690067291
239,,,
240,,,
239,1.3329708576202393,0,-0.3268279433250427
240,,,
241,,,
240,0.21102041006088257,1,-0.20980966091156006
241,,,
242,,,
241,0.24763499200344086,1,-0.270859956741333
242,,,
243,,,
242,1.3526263236999512,0,-0.33468276262283325
243,,,
244,,,
243,0.20933404564857483,1,-0.20051193237304688
244,,,
245,,,
244,0.24714593589305878,1,-0.25940483808517456
245,,,
246,,,
245,1.3510189056396484,0,-0.32316237688064575
246,,,
247,,,
246,0.2051512449979782,1,-0.19728033244609833
247,,,
248,,,
247,0.24253515899181366,1,-0.2541040778160095
248,,,
249,,,
248,1.3691437244415283,0,-0.31941884756088257
249,,,
250,,,
249,0.20346495509147644,1,-0.1883215308189392
250,,,
251,,,
250,0.24237266182899475,1,-0.24391862750053406
251,,,
252,,,
251,1.3811029195785522,0,-0.3046737313270569
252,,,
253,,,
252,0.20457565784454346,1,-0.18756228685379028
253,,,
254,,,
253,0.244306281208992,1,-0.24261872470378876
254,,,
255,,,
254,1.3734784126281738,0,-0.301982045173645
255,,,
256,,,
255,0.20033442974090576,1,-0.21466758847236633
256,,,
257,,,
256,0.23954062163829803,1,-0.2800883650779724
257,,,
258,,,
257,1.4175231456756592,0,-0.3428245186805725
258,,,
259,,,
258,0.19799505174160004,1,-0.20876596868038177
259,,,
260,,,
259,0.23826812207698822,1,-0.27229899168014526
260,,,
261,,,
260,1.4204009771347046,0,-0.33605435490608215
261,,,
262,,,
261,0.1946549117565155,1,-0.2055458426475525
262,,,
263,,,
262,0.23411308228969574,1,-0.26660090684890747
263,,,
264,,,
263,1.4364399909973145,0,-0.3315720856189728
264,,,
265,,,
264,0.19355729222297668,1,-0.1966536045074463
265,,,
266,,,
265,0.23441638052463531,1,-0.25646233558654785
266,,,
267,,,
266,1.4483768939971924,0,-0.3168526887893677
267,,,
268,,,
267,0.19371680915355682,1,-0.19555975496768951
268,,,
269,,,
268,0.2352192997932434,1,-0.25451982021331787
269,,,
270,,,
269,1.4438068866729736,0,-0.31341248750686646
270,,,
271,,,
270,0.2021835744380951,1,-0.2226075828075409
271,,,
272,,,
271,0.24231073260307312,1,-0.2878841459751129
272,,,
273,,,
272,1.3711128234863281,0,-0.35748687386512756
273,,,
274,,,
273,0.21125002205371857,1,-0.21835722029209137
274,,,
275,,,
274,0.2514760196208954,1,-0.2813587486743927
275,,,
276,,,
275,1.33054518699646,0,-0.34994906187057495
276,,,
277,,,
276,0.19772078096866608,1,-0.20732994377613068
277,,,
278,,,
277,0.2378949373960495,1,-0.26789039373397827
278,,,
279,,,
278,1.3858648538589478,0,-0.33768022060394287
279,,,
280,,,
279,0.1962093561887741,1,-0.1983053833246231
280,,,
281,,,
280,0.2375258505344391,1,-0.2572648227214813
281,,,
282,,,
281,1.399011492729187,0,-0.3232424557209015
282,,,
283,,,
282,0.19661222398281097,1,-0.19801120460033417
283,,,
284,,,
283,0.23847700655460358,1,-0.25616705417633057
284,,,
285,,,
284,1.3960745334625244,0,-0.3206484913825989
285,,,
286,,,
285,0.21522673964500427,1,-0.23627492785453796
286,,,
287,,,
286,0.2561146020889282,1,-0.29945099353790283
287,,,
288,,,
287,1.3266329765319824,0,-0.36943039298057556
288,,,
289,,,
288,0.21075384318828583,1,-0.2207852154970169
289,,,
290,,,
289,0.25219106674194336,1,-0.28086501359939575
290,,,
291,,,
290,1.3369340896606445,0,-0.3473191261291504
291,,,
292,,,
291,0.20829956233501434,1,-0.21898473799228668
292,,,
293,,,
292,0.2501429617404938,1,-0.2780291736125946
293,,,
294,,,
293,1.3470211029052734,0,-0.3474732041358948
294,,,
295,,,
294,0.20447199046611786,1,-0.20803682506084442
295,,,
296,,,
295,0.24614296853542328,1,-0.2652817964553833
296,,,
297,,,
296,1.3688024282455444,0,-0.3306220471858978
297,,,
298,,,
297,0.20670729875564575,1,-0.20829933881759644
298,,,
299,,,
