index,loss,correct,total_logprob
32,,,
31,0.3935186564922333,1,-0.6473169326782227
32,,,
33,,,
32,1.0198450088500977,0,-0.5906748175621033
33,,,
34,,,
33,0.43726688623428345,1,-0.5845624804496765
34,,,
35,,,
34,0.3731907308101654,1,-0.6354285478591919
35,,,
36,,,
35,1.047816276550293,0,-0.5749387741088867
36,,,
37,,,
36,0.4438783526420593,1,-0.5815547108650208
37,,,
38,,,
37,0.3887447118759155,1,-0.6339621543884277
38,,,
39,,,
38,1.031114101409912,0,-0.5776894092559814
39,,,
40,,,
39,0.44914281368255615,1,-0.5820924043655396
40,,,
41,,,
40,0.3918808400630951,1,-0.636064887046814
41,,,
42,,,
41,1.0266478061676025,0,-0.5774855017662048
42,,,
43,,,
42,0.4419073462486267,1,-0.5839475989341736
43,,,
44,,,
43,0.38653334975242615,1,-0.6377335786819458
44,,,
45,,,
44,1.0365562438964844,0,-0.5783126354217529
45,,,
46,,,
45,0.44054093956947327,1,-0.6283814907073975
46,,,
47,,,
46,0.37564021348953247,1,-0.669490396976471
47,,,
48,,,
47,1.0536112785339355,0,-0.6145464181900024
48,,,
49,,,
48,0.4353381097316742,1,-0.6152410507202148
49,,,
50,,,
49,0.37289145588874817,1,-0.6574543714523315
50,,,
51,,,
50,1.0576107501983643,0,-0.6017261743545532
51,,,
52,,,
51,0.42766958475112915,1,-0.6093048453330994
52,,,
53,,,
52,0.37048041820526123,1,-0.6514861583709717
53,,,
54,,,
53,1.0694248676300049,0,-0.5966368317604065
54,,,
55,,,
54,0.4358364939689636,1,-0.613002598285675
55,,,
56,,,
55,0.37384232878685,1,-0.655983567237854
56,,,
57,,,
56,1.0611498355865479,0,-0.5990791916847229
57,,,
58,,,
57,0.42773595452308655,1,-0.6156234741210938
58,,,
59,,,
58,0.36823269724845886,1,-0.6584857702255249
59,,,
60,,,
59,1.0732369422912598,0,-0.6002456545829773
60,,,
61,,,
60,0.44057899713516235,1,-0.5699090361595154
61,,,
62,,,
61,0.3853095471858978,1,-0.6217143535614014
62,,,
63,,,
62,1.0418368577957153,0,-0.5632529258728027
63,,,
64,,,
63,0.4360682964324951,1,-0.5583228468894958
64,,,
65,,,
64,0.38300982117652893,1,-0.6116446256637573
65,,,
66,,,
65,1.0453460216522217,0,-0.5513260364532471
66,,,
67,,,
66,0.43057122826576233,1,-0.5588743686676025
67,,,
68,,,
67,0.38066092133522034,1,-0.6119648218154907
68,,,
69,,,
68,1.0557093620300293,0,-0.5524201393127441
69,,,
70,,,
69,0.4337811768054962,1,-0.5599418878555298
70,,,
71,,,
70,0.383308470249176,1,-0.6147038340568542
71,,,
72,,,
71,1.0511233806610107,0,-0.5537225604057312
72,,,
73,,,
72,0.4292249381542206,1,-0.5584008693695068
73,,,
74,,,
73,0.38009610772132874,1,-0.6134703159332275
74,,,
75,,,
74,1.0581934452056885,0,-0.5514722466468811
75,,,
76,,,
75,0.4436842203140259,1,-0.5885961055755615
76,,,
77,,,
76,0.3904014825820923,1,-0.6444529294967651
77,,,
78,,,
77,1.0315461158752441,0,-0.5887477397918701
78,,,
79,,,
78,0.4355373978614807,1,-0.5779014229774475
79,,,
80,,,
79,0.3854559063911438,1,-0.6353339552879333
80,,,
81,,,
80,1.0428048372268677,0,-0.5770711898803711
81,,,
82,,,
81,0.43035241961479187,1,-0.580369234085083
82,,,
83,,,
82,0.38299277424812317,1,-0.6374225616455078
83,,,
84,,,
83,1.053670883178711,0,-0.5792491436004639
84,,,
85,,,
84,0.4320867955684662,1,-0.5803951025009155
85,,,
86,,,
85,0.38431528210639954,1,-0.6392825841903687
86,,,
87,,,
86,1.0510141849517822,0,-0.579776406288147
87,,,
88,,,
87,0.42683398723602295,1,-0.5784114599227905
88,,,
89,,,
88,0.38068512082099915,1,-0.637622594833374
89,,,
90,,,
89,1.059274673461914,0,-0.5772048830986023
